Job Title,Role,Experience,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10,Skill11,Skill12,Skill13,Skill14,Skill15,Skill16
Digital Marketing Specialist,Social Media Manager,7.5,Social media platforms,Facebook,Twitter,Instagram,Content creation and scheduling scheduling,Social media analytics and insights insights,Community engagement,Paid social advertising,,,,,,,,
Database Developer,NoSQL Database Engineer,4.0,NoSQL databases,MongoDB,Cassandra,Data modeling,Data migration,Performance tuning,Scalability,Distributed systems,,,,,,,,
Systems Administrator,Database Administrator,6.5,Database management systems,MySQL,Oracle,SQL,Server,Data security,Database tuning and optimization optimization,Backup and recovery recovery,,,,,,,,
Web Designer,Frontend Web Designer,4.5,Frontend web development,HTML/CSS,CSS,Responsive design,User interface,UI design,Adobe,Creative,Suite,Collaboration skills,,,,,,
Financial Advisor,Retirement Planner,8.0,Retirement planning,Social security,Investment products,Tax planning,Estate planning,,,,,,,,,,,
Finance Manager,Treasury Manager,7.0,Treasury management,Cash flow analysis,Risk management,Financial forecasting,Banking relations,,,,,,,,,,,
Network Engineer,Network Administrator,7.0,Network management,Troubleshooting,Network security,IT certifications,CCNA,,,,,,,,,,,
Digital Marketing Specialist,Social Media Manager,8.5,Social media platforms,Facebook,Twitter,Instagram,Content creation and scheduling scheduling,Social media analytics and insights insights,Community engagement,Paid social advertising,,,,,,,,
Marketing Analyst,Digital Marketing Analyst,4.5,Digital marketing strategies,Analytics and reporting reporting,SEO and SEM,SEM,Social media marketing,Email marketing,Data interpretation,Marketing automation tools,A/B,B testing,Communication skills,Problem - solving,Attention to detail,Marketing knowledge,,
Sales Manager,Regional Sales Director,6.0,Sales strategy development,Territory management,Sales team leadership,,,,,,,,,,,,,
Marketing Director,Digital Marketing Director,9.0,Digital marketing strategy,Marketing analytics,Team leadership,Content marketing,SEO and SEM,SEM proficiency,,,,,,,,,,
Systems Administrator,IT Support Specialist,6.0,Technical troubleshooting,Hardware and software software support,Customer service,Problem - solving,Communication,,,,,,,,,,,
Front-End Engineer,UI/UX Front-End Developer,6.5,UI/UX,UX design,Frontend web development,Wireframing and prototyping prototyping,User research,Accessibility standards,Responsive design,Collaboration skills,,,,,,,,
Network Security Specialist,Cybersecurity Analyst,8.5,Cybersecurity,Security assessments,Intrusion detection,Security tools,SIEM,Incident response,Vulnerability scanning,,,,,,,,,
Data Analyst,Business Intelligence Analyst,8.5,Data analysis and visualization visualization tools,Tableau,Power,BI,SQL and database database querying,Business intelligence concepts,Data modeling and reporting reporting,Strong analytical and problem problem - solving skills,Data - driven decision - making,,,,,,,
Database Developer,NoSQL Database Engineer,8.0,NoSQL databases,MongoDB,Cassandra,Data modeling,Data migration,Performance tuning,Scalability,Distributed systems,,,,,,,,
Systems Administrator,IT Support Specialist,8.5,Technical troubleshooting,Hardware and software software support,Customer service,Problem - solving,Communication,,,,,,,,,,,
